Owner,Repo,Description,URL,Language,Stars,Open Issues Count,Created At,Updated At,Size,Has Downloads,YML Count,YML Files
freeCodeCamp,freeCodeCamp/freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,https://github.com/freeCodeCamp/freeCodeCamp,TypeScript,383627,374,2014-12-24T17:49:19Z,2024-02-18T17:50:59Z,416691,True,21,"crowdin-download.client-ui.yml, crowdin-download.curriculum.yml, crowdin-download.docs.yml, crowdin-upload.client-ui.yml, crowdin-upload.curriculum.yml, crowdin-upload.docs.yml, curriculum-i18n.yml, e2e-mobile.yml, e2e-playwright.yml, e2e-third-party.yml, e2e-web.yml, github-autoclose.yml, github-labeler.yaml, github-no-i18n-via-prs.yml, github-no-web-commits.yml, github-spam.yml, i18n-validate-builds.yml, i18n-validate-prs.yml, node.js-tests.yml, temporary-container-checks.yml, update-license.yaml"
EbookFoundation,EbookFoundation/free-programming-books,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,Unknown,312063,36,2013-10-11T06:50:37Z,2024-02-18T18:27:32Z,18211,True,6,"check-urls.yml, comment-pr.yml, detect-conflicting-prs.yml, fpb-lint.yml, issues-pinner.yml, stale.yml"
sindresorhus,sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,Unknown,290274,42,2014-07-11T13:42:37Z,2024-02-18T18:27:52Z,1532,True,1,main.yml
public-apis,public-apis/public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis,Python,279729,237,2016-03-20T23:49:42Z,2024-02-18T18:24:53Z,5088,True,3,"test_of_push_and_pull.yml, test_of_validate_package.yml, validate_links.yml"
jwasham,jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,Unknown,278120,56,2016-06-06T02:34:12Z,2024-02-18T18:33:06Z,21607,True,1,links_checker.yml
kamranahmedse,kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,TypeScript,266482,944,2017-03-15T13:45:52Z,2024-02-18T18:34:37Z,2586102,True,3,"aws-costs.yml, deployment.yml, update-deps.yml"
facebook,facebook/react,The library for web and native user interfaces.,https://github.com/facebook/react,JavaScript,218805,1604,2013-05-24T16:15:54Z,2024-02-18T18:31:04Z,385835,True,3,"commit_artifacts.yml, devtools_check_repro.yml, fuzz_tests.yml"
vuejs,vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",https://github.com/vuejs/vue,TypeScript,206385,606,2013-07-29T03:24:51Z,2024-02-18T16:10:33Z,32405,True,2,"ci.yml, release-tag.yml"
tensorflow,tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,C++,180742,2044,2015-11-07T01:19:20Z,2024-02-18T17:50:04Z,984235,True,17,"arm-cd.yml, arm-ci-extended-cpp.yml, arm-ci-extended.yml, arm-ci.yml, cffconvert.yml, issue-on-pr-rollback.yml, osv-scanner-scheduled.yml, pylint-presubmit.yml, release-branch-cherrypick.yml, scorecards-analysis.yml, sigbuild-docker-branch.yml, sigbuild-docker-presubmit.yml, sigbuild-docker.yml, stale-issues.yml, trusted-partners.yml, update-nightly.yml, update-rbe.yml"
trekhleb,trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,https://github.com/trekhleb/javascript-algorithms,JavaScript,180257,354,2018-03-24T07:47:04Z,2024-02-18T18:17:12Z,13363,True,1,CI.yml
TheAlgorithms,TheAlgorithms/Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,Python,175828,227,2016-07-16T09:44:01Z,2024-02-18T17:49:01Z,14376,True,4,"build.yml, directory_writer.yml, project_euler.yml, ruff.yml"
ohmyzsh,ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,200+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.",https://github.com/ohmyzsh/ohmyzsh,Shell,166853,474,2009-08-28T18:15:37Z,2024-02-18T18:28:59Z,12155,True,4,"dependencies.yml, installer.yml, main.yml, project.yml"
twbs,twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",https://github.com/twbs/bootstrap,JavaScript,166844,529,2011-07-29T21:19:00Z,2024-02-18T18:28:10Z,239016,True,13,"browserstack.yml, bundlewatch.yml, calibreapp-image-actions.yml, codeql.yml, cspell.yml, css.yml, docs.yml, issue-close-require.yml, issue-labeled.yml, js.yml, lint.yml, node-sass.yml, release-notes.yml"
flutter,flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,https://github.com/flutter/flutter,Dart,160070,12291,2015-03-06T22:54:58Z,2024-02-18T17:52:53Z,119891,True,8,"coverage.yml, easy-cp.yml, labeler.yml, lock.yaml, minimal.yml, mirror.yml, no-response.yaml, scorecards-analysis.yml"
microsoft,microsoft/vscode,Visual Studio Code,https://github.com/microsoft/vscode,TypeScript,156241,7659,2015-09-03T20:23:38Z,2024-02-18T18:19:30Z,895350,True,21,"author-verified.yml, bad-tag.yml, basic.yml, ci.yml, deep-classifier-assign-monitor.yml, deep-classifier-runner.yml, deep-classifier-scraper.yml, deep-classifier-unassign-monitor.yml, english-please.yml, feature-request.yml, latest-release-monitor.yml, locker.yml, monaco-editor.yml, needs-more-info-closer.yml, no-yarn-lock-changes.yml, on-comment.yml, on-label.yml, on-open.yml, release-pipeline-labeler.yml, telemetry.yml, test-plan-item-validator.yml"
Snailclimb,Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,https://github.com/Snailclimb/JavaGuide,Java,140643,57,2018-05-07T13:27:00Z,2024-02-18T16:35:43Z,162462,True,1,test.yml
airbnb,airbnb/javascript,JavaScript Style Guide,https://github.com/airbnb/javascript,JavaScript,140434,161,2012-11-01T23:13:50Z,2024-02-18T18:25:52Z,3616,True,4,"node-pretest.yml, node.yml, rebase.yml, require-allow-edits.yml"
